t ax ay az wx wy wz
5.7800 0.2545470 9.8364378 -0.1781193 -0.8185982 -0.1215359 -0.0504356
5.8000 0.2718770 9.8328678 -0.1762033 -0.8222640 -0.1147690 -0.0446831
5.8200 0.2884681 9.8292811 -0.1743515 -0.8260484 -0.1081404 -0.0383779
5.8400 0.3044937 9.8256892 -0.1726748 -0.8299357 -0.1016496 -0.0315188
5.8600 0.3195745 9.8221517 -0.1709523 -0.8339100 -0.0952963 -0.0241056
5.8800 0.3343874 9.8186442 -0.1693373 -0.8379555 -0.0890796 -0.0161390
5.9000 0.3484847 9.8152272 -0.1677209 -0.8420565 -0.0829986 -0.0076205
5.9200 0.3621341 9.8119089 -0.1660875 -0.8461972 -0.0770522 0.0014474
5.9400 0.3759222 9.8086665 -0.1647333 -0.8503623 -0.0712392 0.0110614
5.9600 0.3889135 9.8056062 -0.1630760 -0.8545364 -0.0655582 0.0212174
5.9800 0.4022691 9.8026541 -0.1617866 -0.8587045 -0.0600076 0.0319104
6.0000 0.4152716 9.7999000 -0.1602833 -0.8628516 -0.0545857 0.0431344
6.0200 0.4284856 9.7973179 -0.1589563 -0.8669633 -0.0492907 0.0548829
6.0400 0.4419616 9.7949295 -0.1577113 -0.8710252 -0.0441206 0.0671484
6.0600 0.4549244 9.7928214 -0.1561194 -0.8750235 -0.0390734 0.0799227
6.0800 0.4691479 9.7908684 -0.1550878 -0.8789446 -0.0341468 0.0931968
6.1000 0.4830918 9.7892191 -0.1537552 -0.8827752 -0.0293386 0.1069609
6.1200 0.4977744 9.7878114 -0.1525278 -0.8865028 -0.0246463 0.1212047
6.1400 0.5123739 9.7867257 -0.1511690 -0.8901149 -0.0200676 0.1359170
6.1600 0.5281430 9.7858837 -0.1500031 -0.8935997 -0.0155999 0.1510860
6.1800 0.5442371 9.7853623 -0.1489008 -0.8969459 -0.0112405 0.1666993
6.2000 0.5607740 9.7851758 -0.1475071 -0.9001426 -0.0069868 0.1827437
6.2200 0.5782291 9.7852895 -0.1464135 -0.9031794 -0.0028361 0.1992057
6.2400 0.5963147 9.7857439 -0.1452378 -0.9060466 0.0012145 0.2160709
6.2600 0.6148216 9.7865662 -0.1438412 -0.9087349 0.0051677 0.2333246
6.2800 0.6347177 9.7876836 -0.1428286 -0.9112356 0.0090264 0.2509514
