t lat lon h Vxg Vyg Vzg pitch roll tHdg
4.3000 37.6172348 -122.3666573 29.4359120 14.1935581 -1.7455049 -24.3294634 3.5743695 3.0870020 295.8435353
4.3200 37.6172374 -122.3666628 29.4008115 14.1827116 -1.7550231 -24.2999263 3.5737327 3.0629767 295.8583180
4.3400 37.6172399 -122.3666683 29.3655224 14.1709135 -1.7644545 -24.2686315 3.5733273 3.0390722 295.8730272
4.3600 37.6172425 -122.3666738 29.3300466 14.1582203 -1.7737880 -24.2356665 3.5731389 3.0152994 295.8876564
4.3800 37.6172450 -122.3666793 29.2943864 14.1446841 -1.7830126 -24.2011468 3.5731531 2.9916687 295.9021991
4.4000 37.6172476 -122.3666848 29.2585440 14.1303600 -1.7921174 -24.1651778 3.5733557 2.9681901 295.9166491
4.4200 37.6172501 -122.3666903 29.2225222 14.1153041 -1.8010918 -24.1278609 3.5737324 2.9448726 295.9310002
4.4400 37.6172526 -122.3666957 29.1863237 14.0995715 -1.8099252 -24.0893109 3.5742693 2.9217247 295.9452465
4.4600 37.6172552 -122.3667012 29.1499516 14.0832172 -1.8186075 -24.0496294 3.5749523 2.8987543 295.9593820
4.4800 37.6172577 -122.3667066 29.1134090 14.0662976 -1.8271289 -24.0089221 3.5757678 2.8759685 295.9734010
4.5000 37.6172602 -122.3667121 29.0766994 14.0488686 -1.8354800 -23.9673035 3.5767023 2.8533741 295.9872978
